GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.request,GetOrdersRequest,10,0,0,0,3,0,3,0,3,0
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.request,UpdateOrderRequest,7,31,0,0,1,6,2,9,2,9
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.request,CreateOrderRequest.CreateOrderRequestBuilder,22,28,0,0,0,1,1,5,1,5
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.request,CreateOrderRequest,0,40,0,0,0,7,0,9,0,9
A sample REST application built on SAM and DynamoDB,com.amazonaws.model,Order,0,60,0,0,0,9,0,13,0,13
A sample REST application built on SAM and DynamoDB,com.amazonaws.model,OrderPage.OrderPageBuilder,17,21,0,0,0,1,1,4,1,4
A sample REST application built on SAM and DynamoDB,com.amazonaws.model,Order.OrderBuilder,32,42,0,0,0,1,1,7,1,7
A sample REST application built on SAM and DynamoDB,com.amazonaws.model,OrderPage,0,19,0,0,0,3,0,4,0,4
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,CreateOrderHandler,28,197,0,12,7,46,0,9,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,OrderRequestStreamHandler,0,49,1,3,0,7,1,4,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,DeleteOrderHandler,66,62,1,3,13,18,1,4,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,UpdateOrderHandler,48,213,0,8,11,54,0,7,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,GetOrderHandler,28,82,0,4,7,23,0,5,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.handler,GetOrdersHandler,14,54,0,0,3,15,1,2,1,2
A sample REST application built on SAM and DynamoDB,com.amazonaws.exception,UnableToDeleteException,0,4,0,0,0,2,0,1,0,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.exception,OrderDoesNotExistException,0,4,0,0,0,2,0,1,0,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.exception,TableDoesNotExistException,0,4,0,0,0,2,0,1,0,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.exception,CouldNotCreateOrderException,0,4,0,0,0,2,0,1,0,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.exception,UnableToUpdateException,0,4,0,0,0,2,0,1,0,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.dao,OrderDao,27,616,4,24,8,148,4,22,0,12
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.response,ErrorMessage,0,15,0,0,0,3,0,3,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.response,GatewayResponse,0,25,0,0,0,8,0,4,0,4
A sample REST application built on SAM and DynamoDB,com.amazonaws.model.response,GetOrdersResponse,0,15,0,0,0,3,0,3,0,3
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,DaggerOrderComponent.Builder,7,14,1,1,2,3,2,1,1,1
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,DaggerOrderComponent,6,135,0,0,1,40,1,13,1,13
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,OrderModule_TableNameFactory,0,24,0,0,0,8,0,5,0,5
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,OrderModule_ObjectMapperFactory,0,24,0,0,0,8,0,5,0,5
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,OrderModule_DynamoDbFactory,0,24,0,0,0,8,0,5,0,5
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,OrderModule_OrderDaoFactory,0,44,0,0,0,10,0,5,0,5
A sample REST application built on SAM and DynamoDB,com.amazonaws.config,OrderModule,0,45,1,3,0,10,1,6,0,5
